Company,Product,Style,Rating
KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,3.75
Acecook,Super Cup Torigawa Shoyu,Bowl,3.5
Nongshim,Shin Ramyun,Pack,3.0
Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,0.0
Indomie,Onion Chicken Flavor,Pack,1.5
Happy Cook,Toona Paste Noodle,Pack,4.0
The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,5.0
KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,5.0
Nissin,Demae Ramen Spicy Beef,Pack,3.75
Nissin,Cup Noodles Spicy,Cup,3.75
Nissin,Soba Thai,Pack,4.5
Nissin,Cup Noodles Huhn (Chicken),Cup,3.75
Nissin,Demae Ramen Korean Kimchi,Pack,3.5
Nissin,Cup Noodles Curry,Cup,3.75
Nissin,Smack Chili,Pack,3.75
Nissin,Soba Yakitori Chicken,Cup,5.0
Nissin,Demae Ramen Garlic Chicken,Pack,3.5
Nissin,Cup Noodles Ente (Duck),Cup,3.0
Nissin,Demae Ramen Thai Tom Yum,Pack,3.75
Nissin,Soba Sukiyaki Beef,Cup,4.5
Nissin,Demae Ramen Spicy,Pack,3.5
Nissin,Cup Noodles Shrimps,Cup,3.0
Nissin,Demae Ramen Tokyo Soy Sauce,Pack,4.0
Paldo,Bul Jjamppong,Bowl,5.0
TTL,Chicken With Chinese Shaoxing Wine,Pack,4.75
Samyang Foods,Buldak Bokkeummyun,Cup,3.75
Acecook,Pork Wantan Men,Bowl,4.25
E-Zee,Instant Noodles Chicken Flavour,Pack,4.0
Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,5.0
Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,5.0
Samyang Foods,Kimchi Stew Ramyun,Bowl,4.0
Maruchan,Seimen Red Spicy Dandan Men,Bowl,4.75
Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,4.25
Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,2.0
GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,3.5
Nissin,Cup Noodles Mini Seafood Flavour,Cup,5.0
Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,3.75
KOKA,Signature Curry Flavor Instant Noodles,Cup,3.5
Acecook,Dossari Yasai Chanpon,Cup,4.25
Paldo,Volcano Curry Kkokkomyun,Pack,3.5
Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,4.0
Nissin,Cup Noodles XO Sauce Seafood,Cup,3.75
Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,2.0
Nissin,Gekikara Ramen Rasa Pedas,Pack,3.25
TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,5.0
Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,4.5
Daifuku,Katsuo Bowl Udon,Bowl,5.0
Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,3.5
KOKA,Instant Noodles Chicken Satay Flavour,Pack,3.5
KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,4.25
KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,5.0
KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,3.25
KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,4.5
KOKA,Signature Laksa Singapura Instant Noodles,Bowl,5.0
KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,5.0
KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,4.0
KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,5.0
KOKA,Seafood Flavor Instant Noodles,Cup,3.5
KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,3.0
KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,5.0
KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,4.25
KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,5.0
KOKA,Signature Chicken Flavor Instant Noodles,Cup,3.75
Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,3.5
MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,5.0
Master Kong,Roasted Pork Noodle,Pack,4.5
Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,5.0
World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,5.0
Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,4.5
Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,4.75
Mum Ngon,Lau Tom Chua Cay,Pack,3.5
Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,4.25
Nissin,Cup Noodles Indonesia Mie Goreng,Cup,3.75
Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,3.5
Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,3.75
MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,5.0
New Touch,T's Restaurant Sura Tanmen,Cup,4.0
TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,5.0
Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,2.5
Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,0.0
Nissin,Seafood Flavour Rice Vermicelli,Cup,5.0
Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,3.75
Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,3.5
Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,3.25
Uni-President,Baseball Snack Noodle,Pack,5.0
Nissin,Cup Noodles Spicy Seafood Flavor,Cup,3.75
MyKuali,Penang Red Tom Yum Goong,Box,5.0
Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,4.5
Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,3.75
Xiuhe,Hot & Sour Beef Noodles,Bowl,4.25
Nissin,Kitsune Udon Donbei (West),Bowl,5.0
Little Cook,Thailand Green Curry Instant Noodle,Bowl,5.0
Nissin,Cup Noodles Beef Flavour,Cup,2.5
Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,3.25
Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,3.75
Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,3.75
Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,3.5
Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,3.75
Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,4.5
Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,0.25
Nissin,Cup Noodles Mini Spicy Seafood,Cup,4.0
MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,5.0
Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,4.75
Maggi,Nutri-licious Pazzta Tomato Twist,Pack,3.75
Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,5.0
Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,5.0
Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,4.0
Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,1.0
Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,4.0
Maggi,2 Minute Noodles Chicken Flavour,Pack,3.25
Master Kong,Chicken Flavor Instant Noolde,Pack,4.25
Nissin,Cup Noodles Prawn Flavour,Cup,3.75
Ripe'n'Dry,Hokkaido Miso Ramen,Pack,3.0
MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,5.0
Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,5.0
Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,3.75
Gefen,Imitation Chicken Flavor,Cup,4.0
Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,4.25
Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,3.5
Maggi,2 Minute Noodles Curry Flavour,Pack,4.0
Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,4.75
Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,4.25
Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,3.5
Nongshim,Seaweed Instant Noodle,Cup,0.5
Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,4.75
Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,3.75
Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,2.5
Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,4.5
MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,5.0
Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,3.25
Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,5.0
World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,4.5
Nissin,Top Ramen Atta Nooldes Masala,Pack,4.5
Liu Quan,Instant Spicy Rice Noodle,Bowl,4.0
Daikoku,Tanuki Soba,Cup,3.5
Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,4.5
Samyang Foods,Curry Buldak Bokkeummyun,Pack,4.25
Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,3.75
Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,4.0
Samyang Foods,Buldak Bokkeummyun Snack,Pack,5.0
Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,5.0
Samyang Foods,Cheese Buldak Bokkeummyun,Pack,4.0
Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,4.0
Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,4.0
Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,5.0
Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,2.0
Daikoku,Kitsune Udon,Cup,2.0
Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,4.0
Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,5.0
Nongshim,Spicy Shrimp Cup Noodle,Cup,4.0
Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,4.0
Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,5.0
Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,4.0
Uni-President,Minced Pork Flavor Instant Noodles,Pack,1.0
1 To 3 Noodles,Chatpat Masala,Pack,4.0
Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,4.0
Fantastic,Noodles Chicken & Corn Flavour,Cup,3.0
Ripe'n'Dry,Hokkaido Salt Ramen,Pack,3.0
Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,3.0
Knorr,Chatt Patta Instant Noodles,Pack,1.0
Sempio,Clam Flavor Soup Kal-guksu,Pack,5.0
Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,4.0
Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,4.0
Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,4.0
Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,4.0
Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,4.0
Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,3.0
Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,4.0
Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,3.0
Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,3.0
Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,5.0
Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,4.0
Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,4.0
Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,4.0
Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,4.0
Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,4.0
Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,5.0
Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,3.0
Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,4.0
Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,4.0
Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,4.0
Paldo,Bul Jjajangmyeon,Pack,5.0
Ogasawara,Kirin Giraffe Shio Ramen,Pack,5.0
Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,3.0
Sau Tao,Black Pepper XO Sauce Flavour,Bowl,5.0
Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,4.0
Nongshim,Saeutang Sabalmyeon,Bowl,3.5
Happy Cook,Sichuan Spicy Flavor,Pack,5.0
MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,4.0
Nissin,Cup Noodle Spicy Curry Chicken,Cup,5.0
Goku-Uma,Ramen Noodles Miso Flavor,Bowl,3.0
Nissin,Cup Noodles Spicy Beef Flavour,Cup,4.0
Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,3.5
Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,5.0
Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,3.8
Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,4.0
Nissin,Cup Noodles Big Seafood Flavour,Cup,4.0
Fantastic,Noodles Chicken Chow Mein Flavour,Cup,4.0
Ottogi,Ramyun Sabor Pollo,Pack,4.0
Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,4.0
Ajinatori,Chicken Flavor Ramen,Pack,4.0
Maggi,2 Minute Noodles Masala Spicy,Pack,5.0
Maruchan,Sopa Maruchan Sobar A Camaron,Pack,3.0
Nissin,Yakisoba,Tray,5.0
Suimin,Noodle With Oriental Chicken Flavour,Cup,3.0
Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,4.0
Cintan,Mi Segera Mmm... Original,Pack,3.0
Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,4.0
Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,3.0
Suimin,Noodles With Chicken Flavour,Cup,3.0
Nissin,Cup Noodles Seafood,Cup,4.0
Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,4.0
Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,5.0
Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,5.0
Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,4.0
Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,5.0
Myojo,Shin Toyama Black Ramen,Bowl,4.0
Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,4.0
Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,0.0
Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,4.0
Fantastic,Noodles Beef Flavour,Cup,3.0
Nissin,Korean Kimchi Flavour Vermicelli,Cup,4.0
Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,5.0
Samyang Foods,Gold Jjamppong Fried Noodle,Pack,5.0
Nissin,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,4.0
Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,4.0
Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,5.0
Nissin,Raoh Tantanmen,Pack,5.0
Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,3.0
Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,3.0
JML,Hot & Sour Beef Noodles,Pack,4.0
Suimin,Noodles With Braised Beef Flavour,Cup,4.0
Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,4.0
Nissin,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,4.0
Samyang Foods,Fresh Bibimmyun Fried Noodle,Pack,4.0
Wai Wai,Instant Noodles Veg Masala Flavour,Pack,4.0
Nissin,Nupasta Neapolitan Flavour Instant Noodle,Pack,5.0
Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,2.0
Nissin,Disney Cuties Instant Noodle Crab Flavour,Cup,4.0
Nissin,Cup Noodles Rich Soft Shelled Turle Soup,Cup,3.0
Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,1.0
Sichuan Baijia,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,4.0
Dream Kitchen,Curry Flavour Instant Noodles,Cup,5.0
Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,4.0
Uni-President,Science Noodle (X'Mas Edition),Pack,5.0
Farmer's Heart,Pho Beef Flavor Vietnamese Rice Noodle Soup,Bowl,3.75
Kamfen,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,4.3
Fuku,Tom Yam Soup Instant Noodle,Pack,2.3
Goku-Uma,Ramen Noodles Artificially Flavored Tonkotsu,Bowl,3.0
Daikoku,Hiroshima Flavor Yakisoba,Tray,5.0
Nissin,Disney Cuties Instant Noodle Seaweed Flavour,Cup,3.0
Singa-Me,Instant Noodles Mi Goreng Flavour,Cup,4.0
New Touch,Sugomen Sano Ramen,Bowl,5.0
Ottogi,Ramyon Sabor Y Camaron,Pack,4.0
Nissin,Demae Iccho Spicy XO Sauce Seafood Flavour,Pack,4.0
Love Cook,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,4.0
Nongshim,Shin Noodle Soup,Cup,5.0
Nissin,Sapporo Noukou Miso Ramen,Bowl,5.0
Dream Kitchen,Soy Sauce,Cup,4.0
Nissin,Vietnamese Chicken Coriander Flavour Vermicelli,Cup,4.0
Kang Shi Fu,Artificial Spicy Beef Flavour,Pack,4.0
Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,4.0
Great Value,Beef Style Noodles With Vegetables,Cup,3.0
Fuku,Spicy Soup Instant Noodle Beef Flavour,Pack,4.0
Wang,Rice Noodle Anchovy Flavor,Bowl,3.0
Nissin,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),Cup,4.0
Asian Thai Foods,Rumpum Gundruk Flavour,Pack,1.0
Nissin,Cup Noodle Light+ Bagna Cauda,Cup,5.0
Maruchan,Gotsumori Koku Tonkotsu Ramen,Bowl,4.0
Fashion Food,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,4.0
Paldo,Bibim Men,Bowl,5.0
Nissin,Cup Noodles Milk Seafood Flavour,Cup,4.0
Nissin,Spicy Chikin Donburi,Bowl,5.0
Fantastic,Noodle Chicken Flavour,Cup,4.0
Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,4.0
Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,4.0
Nissin,Raoh Shoyu Ramen,Bowl,5.0
Maruchan,Ramen Noodle Soup Sriracha Chicken Flavor,Pack,4.0
Nagatanien,Hiyashi Soba Taidashi Goma,Pack,3.0
Fuku,Bowl Chicken Flavour Instant Rice Vermicelli,Bowl,4.0
Wai Wai,X-Press Flavour Of Pizza In Noodles Proprietary Food,Pack,4.0
KOKA,Rice Noodles Fragrant Chicken Pho Ga Flavour,Pack,4.0
Nyor Nyar,Vegetarian Penang White Curry,Pack,5.0
Nissin,Cup Noodle Seafood,Cup,5.0
Paldo,Budae Jjigae,Pack,5.0
Fantastic,Noodles Crispy Bacon Flavour,Cup,1.0
Tseng Noodles,Spicy Braised Pork Flavor,Pack,4.0
Nissin,Demae Ramen Spicy Seafood Flavour Instant Noodle,Pack,5.0
A-Sha Dry Noodle,Chow Mein Spicy Flavor,Tray,3.0
Myojo,Mee Goreng Spicy Flavour,Pack,5.0
Sapporo Ichiban,Tabimen Nagasaki Chanpon,Bowl,4.0
Acecook,Oh! Ricey Pork Flavour,Pack,4.0
Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,3.0
Morre,Instant Noodles Masala,Pack,4.0
Nissin,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,Pack,5.0
Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,0.0
Nissin,Big Cup Noodles Tonkotsu Flavour,Cup,3.0
Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,5.0
Maruchan,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,Bowl,4.0
Nissin,Cup Noodles Sabor Galinha Caipira,Cup,4.0
Nongshim,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,4.0
Nissin,Nupasta Vongole Flavour Instant Noodle,Cup,4.0
Mr. Lee's Noodles,Penang Chicken Curry Laksa,Cup,2.0
Mr. Lee's Noodles,Shaolin Monk Vegetables,Cup,5.0
Mr. Lee's Noodles,Tai Chi Chicken,Cup,3.0
Mr. Lee's Noodles,Dragon Fire Mushroom,Cup,3.0
Mr. Lee's Noodles,Hong Kong Street Beef,Cup,5.0
Mr. Lee's Noodles,Warrior Fighting Shrimp,Cup,3.3
Nissin,Gyorai Inaniwa Chuka Soba,Bowl,5.0
Fuku,Chicken Flavour Instant Noodle,Pack,4.0
Knorr,Chicken Flavored Instant Noodles,Pack,3.0
Nyor Nyar,Penang White Curry Instant Noodle,Pack,5.0
Choumama,XO Scallops Sauce Dry Noodles,Pack,4.0
Myojo,Barikata Noukou Tonkotsu Shoyu,Bowl,4.75
Nissin,Demae Ramen Sesame Oil Flavour Cup,Cup,4.0
Singa-Me,Instant Noodles Chicken Flavour,Cup,2.5
Pulmuone,Non-Fried Ramyun Noodle (Crab Flavor),Pack,5.0
Master Kong,Assorted Seafood Noodles,Pack,4.0
Nissin,Raoh Hot & Sour Ramen,Pack,5.0
President Rice,Coriander Instant Rice Noodles,Bowl,2.75
MAMA,Instant Rice Noodles Moo Nam Tok Flavour,Pack,3.5
MAMA,Instant Rice Vermicelli Clear Soup,Pack,3.5
MAMA,Instant Rice Noodles Chicken Flavour,Pack,4.0
MAMA,Pho Ga Rice Noodles With Artificial Chicken Flavour,Bowl,3.0
MAMA,Oriental Kitchen Instant Rice Vermicelli In Gravy,Pack,5.0
MAMA,Instant Tom Yam Rice Noodles,Pack,4.0
