Lead Number,Type of Ad Seen
658612,Not Applicable
658606,Not Applicable
658597,Not Applicable
658571,Not Applicable
658561,Not Applicable
658546,Not Applicable
658531,Not Applicable
658527,Not Applicable
658481,Not Applicable
658470,Not Applicable
658458,Not Applicable
658448,Not Applicable
658432,Not Applicable
658430,Not Applicable
658421,Not Applicable
658407,Not Applicable
658405,Not Applicable
658398,Not Applicable
658353,Not Applicable
658323,Not Applicable
658322,Not Applicable
658321,Not Applicable
658309,Not Applicable
658299,Not Applicable
658288,Not Applicable
658281,Not Applicable
658278,Not Applicable
658277,Not Applicable
658264,Not Applicable
658258,Not Applicable
658243,Not Applicable
658234,Not Applicable
658231,Not Applicable
658222,Not Applicable
658220,Not Applicable
658206,Not Applicable
658203,Not Applicable
658193,Not Applicable
658188,Not Applicable
658178,Not Applicable
658142,Not Applicable
658107,Not Applicable
658089,Not Applicable
658081,Not Applicable
658071,Not Applicable
658070,Not Applicable
658063,Not Applicable
658048,Not Applicable
658029,Not Applicable
658023,Not Applicable
658017,Not Applicable
658011,Not Applicable
657995,Not Applicable
657990,Not Applicable
657971,Not Applicable
657968,Not Applicable
657951,Not Applicable
657941,Not Applicable
657920,Not Applicable
657905,Not Applicable
657902,Not Applicable
657899,Not Applicable
657887,Not Applicable
657882,Not Applicable
657879,Not Applicable
657828,Not Applicable
657823,Not Applicable
657821,Not Applicable
657803,Not Applicable
657777,Not Applicable
657754,Not Applicable
657741,Not Applicable
657731,Not Applicable
657717,Not Applicable
657703,Not Applicable
657697,Not Applicable
657691,Not Applicable
657686,Not Applicable
657676,Not Applicable
657660,Not Applicable
657655,Not Applicable
657644,Not Applicable
657643,Not Applicable
657620,Not Applicable
657611,Not Applicable
657609,Not Applicable
657590,Not Applicable
657586,Not Applicable
657572,Not Applicable
657510,Not Applicable
657502,Not Applicable
657500,Not Applicable
657480,Not Applicable
657477,Not Applicable
657470,Not Applicable
657452,Not Applicable
657436,Not Applicable
657426,Not Applicable
657423,Not Applicable
657421,Not Applicable
657390,Not Applicable
657388,Not Applicable
657386,Not Applicable
657385,Not Applicable
657381,Not Applicable
657379,Not Applicable
657356,Not Applicable
657327,Not Applicable
657318,Not Applicable
657316,Not Applicable
657313,Not Applicable
657311,Not Applicable
657302,Not Applicable
657295,Not Applicable
657267,Not Applicable
657261,Not Applicable
657247,Not Applicable
657226,Not Applicable
657225,Not Applicable
657224,Not Applicable
657220,Not Applicable
657186,Not Applicable
657183,Not Applicable
657174,Not Applicable
657148,Not Applicable
657142,Not Applicable
657139,Not Applicable
657138,Not Applicable
657123,Not Applicable
657117,Not Applicable
657101,Not Applicable
657092,Not Applicable
657077,Not Applicable
657073,Not Applicable
657045,Not Applicable
657038,Not Applicable
657033,Not Applicable
657032,Not Applicable
657031,Not Applicable
657014,Not Applicable
657010,Not Applicable
657002,Not Applicable
656976,Not Applicable
656962,Not Applicable
656948,Not Applicable
656945,Not Applicable
656939,Not Applicable
656938,Not Applicable
656911,Not Applicable
656900,Not Applicable
656896,Not Applicable
656887,Not Applicable
656880,Not Applicable
656875,Not Applicable
656859,Not Applicable
656852,Not Applicable
656833,Not Applicable
656795,Not Applicable
656789,Not Applicable
656778,Not Applicable
656776,Not Applicable
656754,Not Applicable
656743,Not Applicable
656729,Not Applicable
656723,Not Applicable
656715,Not Applicable
656698,Not Applicable
656685,Not Applicable
656682,Not Applicable
656681,Not Applicable
656668,Not Applicable
656665,Not Applicable
656660,Not Applicable
656644,Not Applicable
656621,Not Applicable
656594,Not Applicable
656589,Not Applicable
656586,Not Applicable
656580,Not Applicable
656576,Not Applicable
656571,Not Applicable
656563,Not Applicable
656560,Not Applicable
656559,Not Applicable
656527,Not Applicable
656526,Not Applicable
656516,Not Applicable
656511,Not Applicable
656504,Not Applicable
656493,Not Applicable
656492,Not Applicable
656483,Not Applicable
656481,Not Applicable
656478,Not Applicable
656469,Not Applicable
656463,Not Applicable
656457,Not Applicable
656448,Not Applicable
656413,Not Applicable
656412,Not Applicable
656402,Not Applicable
656400,Not Applicable
656399,Not Applicable
656385,Not Applicable
656382,Not Applicable
656381,Not Applicable
656378,Not Applicable
656362,Not Applicable
656359,Not Applicable
656356,Not Applicable
656354,Not Applicable
656345,Not Applicable
656340,Not Applicable
656331,Not Applicable
656327,Not Applicable
656276,Not Applicable
656271,Not Applicable
656265,Not Applicable
656259,Not Applicable
656233,Not Applicable
656231,Not Applicable
656213,Not Applicable
656184,Not Applicable
656176,Not Applicable
656126,Not Applicable
656120,Not Applicable
656096,Not Applicable
656078,Not Applicable
656072,Not Applicable
656049,Not Applicable
656036,Not Applicable
656031,Not Applicable
656030,Not Applicable
656015,Not Applicable
655953,Not Applicable
655949,Not Applicable
655940,Not Applicable
655936,Not Applicable
655916,Not Applicable
655899,Not Applicable
655889,Not Applicable
655886,Not Applicable
655798,Not Applicable
655793,Not Applicable
655782,Not Applicable
655777,Not Applicable
655772,Not Applicable
655766,Not Applicable
655736,Not Applicable
655723,Not Applicable
655719,Not Applicable
655694,Not Applicable
655685,Not Applicable
655682,Not Applicable
655666,Not Applicable
655665,Not Applicable
655661,Not Applicable
655658,Not Applicable
655639,Not Applicable
655628,Not Applicable
655578,Not Applicable
655569,Not Applicable
655557,Not Applicable
655552,Not Applicable
655541,Not Applicable
655522,Not Applicable
655520,Not Applicable
655510,Not Applicable
655497,Not Applicable
655496,Not Applicable
655492,Not Applicable
655457,Not Applicable
655450,Not Applicable
655437,Not Applicable
655429,Not Applicable
655427,Not Applicable
655423,Not Applicable
655406,Not Applicable
655405,Not Applicable
655404,Not Applicable
655403,Not Applicable
655382,Not Applicable
655379,Not Applicable
655375,Not Applicable
655371,Not Applicable
655366,Not Applicable
655360,Not Applicable
655352,Not Applicable
655351,Not Applicable
655349,Not Applicable
655342,Not Applicable
655338,Not Applicable
655337,Not Applicable
655334,Not Applicable
655323,Not Applicable
655315,Not Applicable
655287,Not Applicable
655281,Not Applicable
655277,Not Applicable
655270,Not Applicable
655260,Not Applicable
655256,Not Applicable
655241,Not Applicable
655240,Not Applicable
655227,Not Applicable
655224,Not Applicable
655211,Not Applicable
655206,Not Applicable
655192,Not Applicable
655191,Not Applicable
655175,Not Applicable
655165,Not Applicable
655162,Not Applicable
655160,Not Applicable
655159,Not Applicable
655156,Not Applicable
655154,Not Applicable
655140,Not Applicable
655134,Not Applicable
655133,Not Applicable
655128,Not Applicable
655125,Not Applicable
655122,Not Applicable
655119,Not Applicable
655111,Not Applicable
655103,Not Applicable
655091,Not Applicable
655079,Not Applicable
655078,Not Applicable
655077,Not Applicable
655075,Not Applicable
655071,Not Applicable
655068,Not Applicable
655065,Not Applicable
655061,Not Applicable
655036,Not Applicable
655025,Not Applicable
655024,Not Applicable
655021,Not Applicable
655011,Not Applicable
655005,Not Applicable
654971,Not Applicable
654968,Not Applicable
654955,Not Applicable
654947,Not Applicable
654934,Not Applicable
654918,Not Applicable
654914,Not Applicable
654909,Not Applicable
654908,Not Applicable
654894,Not Applicable
654886,Not Applicable
654869,Not Applicable
654842,Not Applicable
654831,Not Applicable
654822,Not Applicable
654809,Not Applicable
654786,Not Applicable
654724,Not Applicable
654712,Not Applicable
654703,Not Applicable
654659,Not Applicable
654613,Not Applicable
654594,Not Applicable
654579,Not Applicable
654576,Not Applicable
654574,Not Applicable
654572,Not Applicable
654567,Not Applicable
654528,Not Applicable
654525,Not Applicable
654519,Not Applicable
654499,Not Applicable
654492,Not Applicable
654491,Not Applicable
654482,Not Applicable
654479,Not Applicable
654471,Not Applicable
654469,Not Applicable
654456,Not Applicable
654453,Not Applicable
654441,Not Applicable
654434,Not Applicable
654429,Not Applicable
654415,Not Applicable
654395,Not Applicable
654393,Not Applicable
654352,Not Applicable
654342,Not Applicable
654326,Not Applicable
654319,Not Applicable
654317,Not Applicable
654316,Not Applicable
654314,Not Applicable
654291,Not Applicable
654283,Not Applicable
654278,Not Applicable
654275,Not Applicable
654254,Not Applicable
654246,Not Applicable
654224,Not Applicable
654218,Not Applicable
654173,Not Applicable
654174,Not Applicable
654175,Not Applicable
654176,Not Applicable
654177,Not Applicable
654178,Not Applicable
654179,Not Applicable
654181,Not Applicable
654182,Not Applicable
654183,Not Applicable
654184,Not Applicable
654185,Not Applicable
654186,Not Applicable
654187,Not Applicable
654188,Not Applicable
654189,Not Applicable
654190,Not Applicable
654191,Not Applicable
654192,Not Applicable
654170,Not Applicable
654167,Not Applicable
654143,Not Applicable
654136,Not Applicable
654128,Not Applicable
654123,Not Applicable
654116,Not Applicable
654115,Not Applicable
654101,Not Applicable
654099,Not Applicable
654095,Not Applicable
654093,Not Applicable
654061,Not Applicable
654051,Not Applicable
654040,Not Applicable
654027,Not Applicable
654026,Not Applicable
654022,Not Applicable
654018,Not Applicable
654001,Not Applicable
653998,Not Applicable
653992,Not Applicable
653990,Not Applicable
653987,Not Applicable
653985,Not Applicable
653978,Not Applicable
653964,Not Applicable
653943,Not Applicable
653938,Not Applicable
653934,Not Applicable
653933,Not Applicable
653930,Not Applicable
653929,Not Applicable
653924,Not Applicable
653919,Not Applicable
653910,Not Applicable
653908,Not Applicable
653903,Not Applicable
653893,Not Applicable
653881,Not Applicable
653879,Not Applicable
653874,Not Applicable
653858,Not Applicable
653849,Not Applicable
653848,Not Applicable
653836,Not Applicable
653820,Not Applicable
653786,Not Applicable
653785,Not Applicable
653783,Not Applicable
653774,Not Applicable
653773,Not Applicable
653763,Not Applicable
653761,Not Applicable
653757,Not Applicable
653724,Not Applicable
653715,Not Applicable
653696,Not Applicable
653691,Not Applicable
653687,Not Applicable
653656,Not Applicable
653652,Not Applicable
653651,Not Applicable
653650,Not Applicable
653637,Not Applicable
653635,Not Applicable
653632,Not Applicable
653615,Not Applicable
653610,Not Applicable
653593,Not Applicable
653586,Not Applicable
653581,Not Applicable
653580,Not Applicable
653569,Not Applicable
653559,Not Applicable
653552,Not Applicable
653547,Not Applicable
653527,Not Applicable
653525,Not Applicable
653523,Not Applicable
653510,Not Applicable
653502,Not Applicable
653473,Not Applicable
653464,Not Applicable
653452,Not Applicable
653449,Not Applicable
653444,Not Applicable
653432,Not Applicable
653430,Not Applicable
653415,Not Applicable
653413,Not Applicable
653337,Not Applicable
653302,Not Applicable
653297,Not Applicable
653292,Not Applicable
653279,Not Applicable
653261,Not Applicable
653259,Not Applicable
653246,Not Applicable
653232,Not Applicable
653231,Not Applicable
653222,Not Applicable
653207,Not Applicable
653163,Not Applicable
653151,Not Applicable
653120,Not Applicable
653109,Not Applicable
653104,Not Applicable
653091,Not Applicable
653082,Not Applicable
653072,Not Applicable
653068,Not Applicable
653053,Not Applicable
653049,Not Applicable
653048,Not Applicable
653044,Not Applicable
653017,Not Applicable
652987,Not Applicable
652986,Not Applicable
652963,Not Applicable
652958,Not Applicable
652948,Not Applicable
652937,Not Applicable
652926,Not Applicable
652918,Not Applicable
652913,Not Applicable
652888,Not Applicable
652863,Not Applicable
652852,Not Applicable
652828,Not Applicable
652824,Not Applicable
652822,Not Applicable
652806,Not Applicable
652801,Not Applicable
652789,Not Applicable
652787,Not Applicable
652784,Not Applicable
652782,Not Applicable
652768,Not Applicable
652766,Not Applicable
652727,Not Applicable
652725,Not Applicable
652708,Not Applicable
652707,Not Applicable
652701,Not Applicable
652698,Not Applicable
652695,Not Applicable
652681,Not Applicable
652657,Not Applicable
652655,Not Applicable
652646,Not Applicable
652641,Not Applicable
652616,Not Applicable
652610,Not Applicable
652594,Not Applicable
652583,Not Applicable
652580,Not Applicable
652569,Not Applicable
652567,Not Applicable
652559,Not Applicable
652549,Not Applicable
652531,Not Applicable
652525,Not Applicable
652507,Not Applicable
652506,Not Applicable
652500,Not Applicable
652486,Not Applicable
652477,Not Applicable
652463,Not Applicable
652462,Not Applicable
652441,Not Applicable
652421,Not Applicable
652416,Not Applicable
652410,Not Applicable
652401,Not Applicable
652345,Not Applicable
652317,Not Applicable
652314,Not Applicable
652305,Not Applicable
652302,Not Applicable
652250,Not Applicable
652227,Not Applicable
652194,Not Applicable
652193,Not Applicable
652178,Through Recommendations
652174,Not Applicable
652157,Not Applicable
652153,Not Applicable
652128,Not Applicable
652108,Not Applicable
652104,Not Applicable
652085,Not Applicable
652084,Not Applicable
652080,Not Applicable
652074,Not Applicable
652060,Not Applicable
652058,Not Applicable
652050,Not Applicable
652035,Not Applicable
652023,Not Applicable
652014,Not Applicable
651993,Not Applicable
651975,Not Applicable
651935,Not Applicable
651934,Not Applicable
651930,Not Applicable
651926,Not Applicable
651923,Not Applicable
651920,Not Applicable
651910,Not Applicable
651869,Not Applicable
651866,Not Applicable
651865,Not Applicable
651857,Not Applicable
651812,Not Applicable
651807,Not Applicable
651803,Not Applicable
651801,Not Applicable
651799,Not Applicable
651788,Not Applicable
651764,Not Applicable
651760,Not Applicable
651736,Not Applicable
651732,Not Applicable
651725,Not Applicable
651722,Not Applicable
651713,Not Applicable
651702,Not Applicable
651696,Not Applicable
651680,Not Applicable
651663,Not Applicable
651661,Not Applicable
651660,Not Applicable
651642,Not Applicable
651637,Not Applicable
651623,Not Applicable
651614,Not Applicable
651611,Not Applicable
651599,Not Applicable
651582,Not Applicable
651577,Not Applicable
651570,Not Applicable
651548,Not Applicable
651545,Not Applicable
651541,Not Applicable
651531,Not Applicable
651517,Not Applicable
651506,Not Applicable
651501,Not Applicable
651477,Not Applicable
651464,Not Applicable
651443,Not Applicable
651441,Not Applicable
651431,Not Applicable
651425,Not Applicable
651417,Not Applicable
651374,Not Applicable
651363,Not Applicable
651349,Not Applicable
651339,Not Applicable
651298,Not Applicable
651297,Not Applicable
651289,Not Applicable
651284,Not Applicable
651281,Not Applicable
651277,Not Applicable
651270,Not Applicable
651262,Not Applicable
651251,Not Applicable
651250,Not Applicable
651246,Not Applicable
651241,Not Applicable
651221,Not Applicable
651199,Not Applicable
651185,Not Applicable
651143,Not Applicable
651100,Not Applicable
651094,Not Applicable
651093,Not Applicable
651060,Not Applicable
651043,Not Applicable
651037,Not Applicable
651023,Not Applicable
651020,Not Applicable
650994,Not Applicable
650970,Not Applicable
650952,Not Applicable
650921,Not Applicable
650918,Not Applicable
650907,Not Applicable
650900,Not Applicable
650893,Not Applicable
650892,Not Applicable
650877,Not Applicable
650862,Not Applicable
650851,Not Applicable
650847,Not Applicable
650820,Not Applicable
650814,Not Applicable
650794,Not Applicable
650788,Not Applicable
650770,Not Applicable
650743,Not Applicable
650684,Not Applicable
650681,Not Applicable
650678,Not Applicable
650656,Not Applicable
650655,Not Applicable
650654,Not Applicable
650646,Not Applicable
650642,Not Applicable
650612,Not Applicable
650609,Not Applicable
650591,Not Applicable
650579,Not Applicable
650568,Not Applicable
650534,Not Applicable
650514,Not Applicable
650511,Not Applicable
650507,Not Applicable
650506,Not Applicable
650504,Not Applicable
650488,Not Applicable
650484,Not Applicable
650480,Not Applicable
650459,Not Applicable
650444,Not Applicable
650419,Not Applicable
650408,Not Applicable
650398,Not Applicable
650389,Not Applicable
650362,Not Applicable
650338,Not Applicable
650330,Not Applicable
650328,Not Applicable
650319,Not Applicable
650316,Not Applicable
650311,Not Applicable
650305,Not Applicable
650291,Not Applicable
650278,Not Applicable
650274,Not Applicable
650265,Not Applicable
650258,Not Applicable
650238,Not Applicable
650234,Not Applicable
650231,Not Applicable
650189,Not Applicable
650170,Not Applicable
650165,Not Applicable
650153,Not Applicable
650147,Not Applicable
650133,Not Applicable
650102,Not Applicable
650095,Not Applicable
650088,Not Applicable
650087,Not Applicable
650025,Not Applicable
650012,Not Applicable
649981,Not Applicable
649980,Not Applicable
649951,Not Applicable
649947,Not Applicable
649941,Not Applicable
649936,Not Applicable
649919,Not Applicable
649892,Not Applicable
649879,Not Applicable
649867,Not Applicable
649862,Not Applicable
649851,Not Applicable
649833,Not Applicable
649774,Not Applicable
649773,Not Applicable
649752,Not Applicable
649735,Not Applicable
649733,Not Applicable
649712,Not Applicable
649691,Not Applicable
649677,Not Applicable
649656,Not Applicable
649619,Not Applicable
649597,Not Applicable
649586,Not Applicable
649562,Not Applicable
649555,Not Applicable
649525,Not Applicable
649514,Not Applicable
649504,Not Applicable
649500,Not Applicable
649493,Not Applicable
649488,Not Applicable
649474,Not Applicable
649470,Not Applicable
649467,Not Applicable
649451,Not Applicable
649442,Not Applicable
649430,Not Applicable
649426,Not Applicable
649417,Not Applicable
649413,Not Applicable
649409,Not Applicable
649405,Not Applicable
649404,Not Applicable
649401,Not Applicable
649398,Not Applicable
649378,Not Applicable
649359,Not Applicable
649355,Not Applicable
649341,Not Applicable
649339,Not Applicable
649338,Not Applicable
649334,Not Applicable
649332,Not Applicable
649329,Not Applicable
649320,Not Applicable
649316,Not Applicable
649293,Not Applicable
649262,Not Applicable
649259,Not Applicable
649252,Not Applicable
649244,Not Applicable
649235,Not Applicable
649223,Not Applicable
649221,Not Applicable
649219,Not Applicable
649212,Not Applicable
649203,Not Applicable
649186,Not Applicable
649181,Not Applicable
649156,Not Applicable
649152,Not Applicable
649138,Not Applicable
649135,Not Applicable
649130,Not Applicable
649102,Not Applicable
649095,Not Applicable
649091,Not Applicable
649082,Not Applicable
649080,Not Applicable
649079,Not Applicable
649066,Not Applicable
649039,Not Applicable
649028,Not Applicable
649023,Not Applicable
649018,Not Applicable
649003,Not Applicable
648999,Not Applicable
648993,Not Applicable
648992,Not Applicable
648987,Not Applicable
648983,Not Applicable
648956,Not Applicable
648948,Not Applicable
648886,Not Applicable
648872,Not Applicable
648834,Not Applicable
648813,Not Applicable
648798,Not Applicable
648765,Not Applicable
648707,Not Applicable
648706,Not Applicable
648700,Not Applicable
648681,Not Applicable
648670,Not Applicable
648641,Not Applicable
648639,Not Applicable
648638,Not Applicable
648634,Not Applicable
648623,Not Applicable
648612,Not Applicable
648605,Not Applicable
648588,Not Applicable
648540,Not Applicable
648538,Not Applicable
648526,Not Applicable
648518,Not Applicable
648494,Not Applicable
648488,Not Applicable
648481,Not Applicable
648466,Not Applicable
648437,Not Applicable
648434,Not Applicable
648423,Not Applicable
648419,Not Applicable
648386,Not Applicable
648361,Not Applicable
648360,Not Applicable
648331,Not Applicable
648322,Not Applicable
648319,Not Applicable
648314,Not Applicable
648310,Not Applicable
648293,Not Applicable
648290,Not Applicable
648284,Not Applicable
648265,Not Applicable
648243,Not Applicable
648236,Not Applicable
648231,Not Applicable
648219,Not Applicable
648199,Not Applicable
648191,Not Applicable
648180,Not Applicable
648164,Not Applicable
648146,Not Applicable
648139,Not Applicable
648136,Not Applicable
648130,Not Applicable
648125,Not Applicable
648109,Not Applicable
648086,Not Applicable
648081,Not Applicable
648066,Not Applicable
648060,Not Applicable
648044,Not Applicable
648037,Not Applicable
648033,Not Applicable
648015,Not Applicable
647974,Not Applicable
647975,Not Applicable
647976,Not Applicable
647977,Not Applicable
647978,Not Applicable
647979,Not Applicable
647980,Not Applicable
647981,Not Applicable
647982,Not Applicable
647983,Not Applicable
647984,Not Applicable
647985,Not Applicable
647986,Not Applicable
647987,Not Applicable
647988,Not Applicable
647989,Not Applicable
647990,Not Applicable
647991,Not Applicable
647992,Not Applicable
647993,Not Applicable
647994,Not Applicable
647995,Not Applicable
647996,Not Applicable
647971,Not Applicable
647947,Not Applicable
647941,Not Applicable
647939,Not Applicable
647930,Not Applicable
647918,Not Applicable
647916,Not Applicable
647912,Not Applicable
647903,Not Applicable
647902,Not Applicable
647894,Not Applicable
647861,Not Applicable
647851,Not Applicable
647829,Not Applicable
647818,Not Applicable
647814,Not Applicable
647775,Not Applicable
647770,Not Applicable
647759,Not Applicable
647711,Not Applicable
647709,Not Applicable
647701,Not Applicable
647697,Not Applicable
647691,Not Applicable
647689,Not Applicable
647668,Not Applicable
647667,Not Applicable
647665,Not Applicable
647654,Not Applicable
647649,Not Applicable
647630,Not Applicable
647606,Not Applicable
647600,Not Applicable
647591,Not Applicable
647584,Not Applicable
647583,Not Applicable
647555,Not Applicable
647539,Not Applicable
647517,Not Applicable
647504,Not Applicable
647449,Not Applicable
647448,Not Applicable
647423,Not Applicable
647411,Not Applicable
647404,Not Applicable
647398,Not Applicable
647352,Not Applicable
647320,Not Applicable
647300,Not Applicable
647299,Not Applicable
647285,Not Applicable
647279,Not Applicable
647256,Not Applicable
647212,Not Applicable
647201,Not Applicable
647199,Not Applicable
647177,Not Applicable
647142,Not Applicable
647132,Not Applicable
647127,Not Applicable
647125,Not Applicable
647123,Not Applicable
647113,Not Applicable
647084,Not Applicable
647082,Not Applicable
647080,Not Applicable
647077,Not Applicable
647040,Not Applicable
647039,Not Applicable
646999,Not Applicable
646958,Not Applicable
646938,Not Applicable
646930,Not Applicable
646917,Not Applicable
646915,Not Applicable
646876,Not Applicable
646873,Not Applicable
646863,Not Applicable
646858,Not Applicable
646857,Not Applicable
646849,Not Applicable
646847,Not Applicable
646842,Not Applicable
646841,Not Applicable
646839,Not Applicable
646838,Not Applicable
646808,Not Applicable
646799,Not Applicable
646772,Not Applicable
646768,Not Applicable
646762,Not Applicable
646755,Not Applicable
646749,Not Applicable
646741,Not Applicable
646738,Not Applicable
646729,Not Applicable
646726,Not Applicable
646710,Not Applicable
646701,Not Applicable
646697,Not Applicable
646688,Not Applicable
646680,Not Applicable
646673,Not Applicable
646662,Not Applicable
646652,Not Applicable
646645,Not Applicable
646617,Not Applicable
646577,Not Applicable
646574,Not Applicable
646573,Not Applicable
646570,Not Applicable
646558,Not Applicable
646552,Not Applicable
646546,Not Applicable
646545,Not Applicable
646544,Not Applicable
646534,Not Applicable
646522,Not Applicable
646508,Not Applicable
646504,Not Applicable
646501,Not Applicable
646491,Not Applicable
646462,Not Applicable
646456,Not Applicable
646453,Not Applicable
646451,Not Applicable
646449,Not Applicable
646448,Not Applicable
646447,Not Applicable
646433,Not Applicable
646432,Not Applicable
646426,Not Applicable
646413,Not Applicable
646412,Not Applicable
646398,Not Applicable
646388,Not Applicable
646370,Not Applicable
646366,Not Applicable
646363,Not Applicable
646360,Not Applicable
646355,Not Applicable
646337,Not Applicable
646335,Not Applicable
646334,Not Applicable
646330,Not Applicable
646329,Not Applicable
646320,Not Applicable
646308,Not Applicable
646302,Not Applicable
646285,Not Applicable
646279,Not Applicable
646276,Not Applicable
646266,Not Applicable
646253,Not Applicable
646241,Not Applicable
646238,Not Applicable
646231,Not Applicable
646227,Not Applicable
646207,Not Applicable
646199,Not Applicable
646191,Not Applicable
646189,Not Applicable
646182,Not Applicable
646181,Not Applicable
646170,Not Applicable
646086,Not Applicable
646078,Not Applicable
646076,Not Applicable
646068,Not Applicable
646014,Not Applicable
646010,Not Applicable
646003,Not Applicable
646001,Not Applicable
645967,Not Applicable
645960,Not Applicable
645948,Not Applicable
645946,Not Applicable
645937,Not Applicable
645927,Not Applicable
645914,Not Applicable
645889,Not Applicable
645887,Not Applicable
645883,Not Applicable
645875,Not Applicable
645843,Not Applicable
645840,Not Applicable
645825,Not Applicable
645818,Not Applicable
645814,Not Applicable
645810,Not Applicable
645806,Not Applicable
645802,Not Applicable
645791,Not Applicable
645790,Not Applicable
645785,Not Applicable
645773,Not Applicable
645763,Not Applicable
645760,Not Applicable
645755,Not Applicable
645735,Not Applicable
645725,Not Applicable
645714,Not Applicable
645713,Not Applicable
645710,Not Applicable
645703,Not Applicable
645699,Not Applicable
645690,Not Applicable
645671,Not Applicable
645668,Not Applicable
645664,Not Applicable
645662,Not Applicable
645659,Not Applicable
645657,Not Applicable
645640,Not Applicable
645636,Not Applicable
645629,Not Applicable
645612,Not Applicable
645610,Not Applicable
645601,Not Applicable
645596,Not Applicable
645563,Not Applicable
645545,Not Applicable
645538,Not Applicable
645530,Not Applicable
645524,Not Applicable
645523,Not Applicable
645517,Not Applicable
645515,Not Applicable
645512,Not Applicable
645495,Not Applicable
645491,Not Applicable
645483,Not Applicable
645481,Not Applicable
645472,Not Applicable
645458,Not Applicable
645457,Not Applicable
645447,Not Applicable
645441,Not Applicable
645431,Not Applicable
645422,Not Applicable
645398,Not Applicable
645392,Not Applicable
645388,Not Applicable
645386,Not Applicable
645385,Not Applicable
645381,Not Applicable
645378,Not Applicable
645377,Not Applicable
645372,Not Applicable
645370,Not Applicable
